started_at,ended_at,start_station_id,end_station_id
2019-07-01,2019-07-01,3186,3198
2019-07-01,2019-07-01,3206,3280
2019-07-01,2019-07-01,3186,3205
2019-07-01,2019-07-01,3206,3281
2019-07-01,2019-07-01,3206,3281
